n	MeshesToLoad	MeshesLoadedpercentage(Loaded/ToLoad)
0	24	0	0
0.01	24	0	0
0.02	24	0	0
0.03	24	0	0
0.04	24	0	0
0.05	24	0	0
0.06	24	0	0
0.07	24	0	0
0.08	24	0	0
0.09	24	0	0
0.1	24	0	0
0.11	24	0	0
0.12	24	0	0
0.13	24	0	0
0.14	24	0	0
0.15	24	0	0
0.16	24	0	0
0.17	24	0	0
0.18	24	0	0
0.19	24	0	0
0.2	24	0	0
0.21	24	0	0
0.22	24	0	0
0.23	24	0	0
0.24	24	0	0
0.25	24	0	0
0.26	24	8	0.333333
0.27	24	8	0.333333
0.28	24	8	0.333333
0.29	24	8	0.333333
0.3	24	8	0.333333
0.31	24	8	0.333333
0.32	24	8	0.333333
0.33	24	8	0.333333
0.34	24	8	0.333333
0.35	24	8	0.333333
0.36	24	8	0.333333
0.37	24	8	0.333333
0.38	24	8	0.333333
0.39	24	8	0.333333
0.4	24	8	0.333333
0.41	24	8	0.333333
0.42	24	8	0.333333
0.43	24	8	0.333333
0.44	24	8	0.333333
0.45	24	8	0.333333
0.46	24	8	0.333333
0.47	24	8	0.333333
0.48	24	8	0.333333
0.49	24	8	0.333333
0.5	24	8	0.333333
0.51	24	8	0.333333
0.52	24	8	0.333333
0.53	24	8	0.333333
0.54	24	8	0.333333
0.55	24	8	0.333333
0.56	32	8	0.25
0.57	32	8	0.25
0.58	32	8	0.25
0.59	32	8	0.25
0.6	32	8	0.25
0.61	32	8	0.25
0.62	32	8	0.25
0.63	32	8	0.25
0.64	32	8	0.25
0.65	32	8	0.25
0.66	32	8	0.25
0.67	32	8	0.25
0.68	32	8	0.25
0.69	32	8	0.25
0.7	32	8	0.25
0.71	32	8	0.25
0.72	32	8	0.25
0.73	32	8	0.25
0.74	32	12	0.375
0.75	32	12	0.375
0.76	32	12	0.375
0.77	32	12	0.375
0.78	32	12	0.375
0.79	32	12	0.375
0.8	32	12	0.375
0.81	32	12	0.375
0.82	32	12	0.375
0.83	32	12	0.375
0.84	32	12	0.375
0.85	32	12	0.375
0.86	32	12	0.375
0.87	32	12	0.375
0.88	32	12	0.375
0.89	32	12	0.375
0.9	32	12	0.375
0.91	32	12	0.375
0.92	32	12	0.375
0.93	32	12	0.375
0.94	32	12	0.375
0.95	32	12	0.375
0.96	32	12	0.375
0.97	32	12	0.375
0.98	32	12	0.375
0.99	32	12	0.375
1	32	12	0.375
1.01	32	12	0.375
1.02	32	12	0.375
1.03	32	12	0.375
1.04	32	12	0.375
1.05	32	12	0.375
1.06	32	12	0.375
1.07	32	12	0.375
1.08	32	12	0.375
1.09	32	12	0.375
1.1	32	12	0.375
1.11	32	12	0.375
1.12	32	12	0.375
1.13	32	12	0.375
1.14	32	12	0.375
1.15	32	12	0.375
1.16	32	12	0.375
1.17	32	12	0.375
1.18	32	12	0.375
1.19	32	12	0.375
1.2	32	12	0.375
1.21	32	12	0.375
1.22	32	12	0.375
1.23	32	12	0.375
1.24	32	12	0.375
1.25	32	12	0.375
1.26	32	12	0.375
1.27	32	12	0.375
1.28	32	12	0.375
1.29	32	12	0.375
1.3	32	12	0.375
1.31	32	12	0.375
1.32	32	12	0.375
1.33	32	12	0.375
1.34	32	12	0.375
1.35	32	12	0.375
1.36	32	12	0.375
1.37	32	12	0.375
1.38	32	12	0.375
1.39	32	12	0.375
1.4	32	12	0.375
1.41	32	12	0.375
1.42	32	12	0.375
1.43	32	12	0.375
1.44	32	12	0.375
1.45	32	12	0.375
1.46	32	12	0.375
1.47	32	12	0.375
1.48	40	12	0.3
1.49	40	12	0.3
1.5	40	12	0.3
1.51	40	12	0.3
1.52	40	12	0.3
1.53	40	12	0.3
1.54	40	12	0.3
1.55	40	12	0.3
1.56	40	12	0.3
1.57	40	12	0.3
1.58	40	12	0.3
